Site,Region,RCA,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
CAPE RESURRECTION,E GULF,10,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,84,,3,,0,12,,169,0,120,,90,,146,
CAPE ST. ELIAS,E GULF,10,,,,,,,,,,,,1883,948,744,895,,780,,500,,413,,485,,574,,318,,414,728,1400,714,558,1480,,994,,1114,
CAPE UGYAK,C GULF,8,,,,,,,,,,,,,,0,0,,0,,6,0,0,,0,,0,,0,,0,0,0,,0,,,0,,0,
CARLISLE,C ALEU,5,,59,,,,,,45,,,,20,40,19,14,,12,,0,,0,,12,,0,,0,,0,,27,,10,42,,,20,,
CASTLE ROCK,W GULF,7,541,,,,,,,12,,258,,79,75,56,89,,152,,98,76,155,,38,,75,,70,,15,38,28,,,,,178,129,,1
CATON,W GULF,7,,,,,,,,,847,,,0,,,0,,,,,0,,,257,,89,,109,,368,416,542,,,606,,688,410,,408
CHAGULAK,C ALEU,5,,51,,,,,,371,,,,40,31,39,50,,26,,43,,40,,40,,5,,0,,13,,59,,54,49,,,,66,
CHANKLIUT,W GULF,8,,,,,,,,,,,,,15,,,,,,0,0,,,3,,28,,0,,0,,0,,0,,,,,,
CHERNABURA,W GULF,7,2758,1504,,,,,,487,456,150,,544,442,650,459,,676,,422,729,624,,496,,496,,828,873,,1228,1281,1162,,1494,,927,798,,1047
CHERNI,W GULF,7,,,,,,,,,,,,,1,0,0,,105,,0,0,2,,0,,0,,0,,0,0,0,,,,,,0,,0
CHIRIKOF,C GULF,8,3699,5199,,,,,,2346,,,,1278,1061,946,770,,432,,360,294,266,,276,,320,,303,392,,300,300,430,262,461,,584,,781,
CHISWELL ISLANDS,E GULF,10,,,,,,,,,,,,456,408,383,240,,180,,115,,79,,54,,97,,72,93,71,74,68,94,114,177,,204,,268,
CHOWIET,C GULF,8,4419,4441,,,,,,2059,,,,737,897,716,771,,599,,592,538,515,,504,,582,,541,624,,576,559,644,653,686,,877,,1014,
CHUGINADAK,C ALEU,6,,933,,,,,,345,,,,248,73,174,120,,69,,36,,36,,23,,62,,129,,79,,53,,173,68,,,112,,74
CHUGUL,C ALEU,4,,,,,,,,,,,,,,,,,,,52,,82,,31,,52,,39,,69,73,12,,33,22,,,29,,30
CLUBBING ROCKS,W GULF,7,2663,1162,,,,,,1251,1023,,,856,1021,920,970,,931,,957,934,858,,712,,830,,911,709,1037,1063,952,1023,,1068,,1016,1333,,1236
DANGER,E GULF,10,,,,,,,,,,,,,,,,,,,1,,,,,,0,,12,,10,119,2,1,0,,,0,,24,
